Index,Manufacturer Part Number,Manufacturer Name,Description,Lead Time,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,REACH Status,Moisture Sensitivity Level (MSL),ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Unit of Measure,Image,Product Notes
1,GCM188R71C105KA64D,Murata Electronics,CAP CER 1UF 16V X7R 0603,,"600,773",In Stock,10,13,15,Cut Tape (CT),490-5241-1-ND,0.08500,$1.28,1,,490-5241-1-ND,16,https://pim.murata.com/asset/pim4/ceramicCapacitorSMD/GCM188R71C105KA64-04A-EN_PDF_CERAMICCAPACITORSMD,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8532.24.0020,Philippines,,490-5241-1-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4850/490_0603%20%281608%20metric%29.jpg,
2,CC1206KKX5R8BB226,YAGEO,CAP CER 22UF 25V X5R 1206,,"1,675",In Stock,10,10,11,Cut Tape (CT),13-CC1206KKX5R8BB226CT-ND,0.38600,$4.25,1,,13-CC1206KKX5R8BB226CT-ND,24,https://yageogroup.com/content/datasheet/asset/file/UPY-GPHC_X5R_4V-TO-50V,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8532.24.0020,Taiwan,,1276-3047-1-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_1206-%283216-Metric%29-1%2C45mm.jpg,
3,GRM188R72A104KA35D,Murata Electronics,CAP CER 0.1UF 100V X7R 0603,,"1,699,041",In Stock,10,12,14,Cut Tape (CT),490-3285-1-ND,0.08700,$1.22,1,,490-3285-1-ND,12,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R72A104KA35-01.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8532.24.0020,Japan,,490-3285-1-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4322/cut-tape-render.jpg,
4,CGJ3E2X7R1H473K080AA,TDK Corporation,CAP CER 0.047UF 50V X7R 0603,,"9,349",In Stock - Non-Stock,10,4,5,Cut Tape (CT),445-8120-1-ND,0.17000,$0.85,1,,445-8120-1-ND,36,https://product.tdk.com/en/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_highreliability_general_en.pdf,,	-,,Obsolete,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8532.24.0020,Japan,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/rohs/mlccrohs_highreliability_general_en.pdf?ref_disty=digikey|https://product.tdk.com/en/environment/index.html,445-8120-1-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2640/MFG_CGJ3E2X7R1H473K080AA.jpg,
5,CL10A106MA8NRNC,Samsung Electro-Mechanics,CAP CER 10UF 25V X5R 0603,,"655,915",In Stock,10,3,4,Cut Tape (CT),1276-1869-1-ND,0.09000,$0.36,1,,1276-1869-1-ND,31,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL10A106MA8NRNC_Spec.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8532.24.0020,China,https://www.samsungsem.com/files/fileDown.do?key=ed1dfdfa-645e-4252-b707-17f9b1502dd1|https://www.samsungsem.com/global/support/certificate/product-stewardship.do,1276-1869-1-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2537/Ceramic-Capacitor-CL-Series.jpg,
6,CC0402KRX7R9BB103,YAGEO,CAP CER 10000PF 50V X7R 0402,,"2,772,907",In Stock,10,1,2,Cut Tape (CT),311-1349-1-ND,0.08000,$0.16,1,,311-1349-1-ND,16,https://yageogroup.com/content/datasheet/asset/file/UPY-GPHC_X7R_6_3V-TO-250V,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8532.24.0020,Taiwan,,311-1349-1-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4322/cut-tape-render.jpg,
7,GRM188R61H225KE11D,Murata Electronics,CAP CER 2.2UF 50V X5R 0603,,"74,531",In Stock,10,1,2,Cut Tape (CT),490-10733-1-ND,0.25000,$0.50,1,,490-10733-1-ND,12,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R61H225KE11-01.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8532.24.0020,Japan,,490-10733-1-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4322/cut-tape-render.jpg,
8,GRM188R61E475KE11D,Murata Electronics,CAP CER 4.7UF 25V X5R 0603,,"286,809",In Stock,10,1,2,Cut Tape (CT),490-7203-1-ND,0.08000,$0.16,1,,490-7203-1-ND,12,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R61E475KE11-01.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8532.24.0020,Japan,,490-7203-1-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4322/cut-tape-render.jpg,
9,EEE-FP1E331AP,Panasonic Electronic Components,CAP ALUM 330UF 20% 25V SMD,,"14,767",In Stock,10,1,2,Cut Tape (CT),PCE4439CT-ND,1.00000,$2.00,1,,PCE4439CT-ND,18,https://industrial.panasonic.com/ww/products/pt/aluminum-cap-smd/models/EEEFP1E331AP,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8532.22.0020,Malaysia,,PCE4439CT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/634/EEE-FP1V221AP.JPG,
10,BZT52B12 RHG,Taiwan Semiconductor Corporation,DIODE ZENER 12V 500MW SOD123F,,"7,787",In Stock,10,1,2,Cut Tape (CT),BZT52B12RHGCT-ND,0.15000,$0.30,1,,BZT52B12RHGCT-ND,18,https://services.taiwansemi.com/storage/resources/datasheet/BZT52B2V4 series_F15.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8541.10.0050,Taiwan,https://www.taiwansemi.com/en/wp-content/uploads/2023/12/Environment_Hazardous_Substances_Compliance_20231115.pdf|https://www.taiwansemi.com/en/wp-content/uploads/2023/12/REACH_regulation1907_2006_EC_compliance_240%20SVHCs_20240124_Web.pdf|https://services.taiwansemi.com/storage/resources/environmental_information/REACH%20regulation%20compliance_ANNEX%20XVII_20250708_Web.pdf|https://www.taiwansemi.com/en/wp-content/uploads/2023/12/California%20Proposition%2065%20Compliance_20240124_Web.pdf,1727-1597-1-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6241/1801%7ESOD123F%7E%7E2_view2.jpg,
11,SMAJ18A-13-F,Diodes Incorporated,TVS DIODE 18VWM 29.2VC SMA,,"113,230",In Stock,10,1,2,Cut Tape (CT),SMAJ18A-FDICT-ND,0.20000,$0.40,1,,SMAJ18A-FDICT-ND,12,https://www.diodes.com/assets/Datasheets/SMAJ5.0CA-SMAJ200CA.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8541.10.0080,Taiwan,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6731/Diode%20RoHS3%20REACH%20247%20Jan%202025%20Statement.pdf,1655-SMAJ18ACT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5787/31%7ESMA%7E%7E2-View-2.jpg,
12,LTST-C281KRKT,Lite-On Inc.,LED RED CLEAR CHIP SMD,,"21,252",In Stock,10,1,2,Cut Tape (CT),160-LTST-C281KRKTCT-ND,0.18000,$0.36,1,,160-LTST-C281KRKTCT-ND,22,https://optoelectronics.liteon.com/upload/download/DS22-2008-0117/LTST-C281KRKT.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,2A  (4 Weeks),EAR99,8541.41.0000,China,,160-LTST-C281KRKTCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/237/303/%7E160%7E0402-%281005-Metric%29%7E.002_web%28640x640%29.jpg,
13,BC070-05-A-1-L-C,GCT,"5POS 1.0MM PITCH SOCKET, SIL, SM",,"2,899",In Stock,,1,1,Cut Tape (CT),2073-BC070-05-A-1-L-CCT-ND,1.03000,$1.03,1,,2073-BC070-05-A-1-L-CCT-ND,8,https://gct.co/files/specs/1.00mm-socket-spec.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8536.69.4040,China,https://gct.co/files/info/gct_certificate_of_compliance.pdf,2073-BC070-05-A-1-L-CCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/438/MFG_BC070-05-A-1-L-C.jpg,
14,BC070-04-A-1-L-D,GCT,"4W, 1.0MM PITCH SOCKET, SIL, SMT",,"2,866",In Stock,,1,1,Tube,2073-BC070-04-A-1-L-D-ND,0.52000,$0.52,1,,2073-BC070-04-A-1-L-D-ND,8,https://gct.co/files/specs/1.00mm-socket-spec.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8536.69.4040,China,https://gct.co/files/info/gct_certificate_of_compliance.pdf,2073-BC070-04-A-1-L-D-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4059/BC070-04-A-1-L-D.jpg,
15,SRN2510BTA-2R2M,Bourns Inc.,FIXED IND 2.2UH 2A 132 MOHM SMD,,"2,140",In Stock,10,5,6,Cut Tape (CT),118-SRN2510BTA-2R2MCT-ND,0.30000,$1.80,1,,118-SRN2510BTA-2R2MCT-ND,21,https://www.bourns.com/docs/Product-Datasheets/SRN2510BTA.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8504.50.8000,China,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6657/Bourns%20REACH%20247%20Jan%202025%20Statement.pdf|https://www.bourns.com/docs/rohs-cofc/cofc-srn.pdf?sfvrsn=597d93f1_18,118-SRN2510BTA-2R2MCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/001/152/398/MFG_SRN2510BTA_web%28640x640%29.jpg,
16,SI7139DP-T1-GE3,Vishay Siliconix,MOSFET P-CH 30V 40A PPAK SO-8,,"4,126",In Stock,,1,1,Cut Tape (CT),SI7139DP-T1-GE3CT-ND,2.09000,$2.09,1,,SI7139DP-T1-GE3CT-ND,39,https://www.vishay.com/docs/65299/si7139dp.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,,1  (Unlimited),EAR99,8541.29.0095,China,,SI7139DP-T1-GE3CT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/212/993/742%7E5881%7EDP%7E8_web%28640x640%29.jpg,
17,RC0402FR-0710KL,YAGEO,RES 10K OHM 1% 1/16W 0402,,"9,636,776",In Stock,10,10,11,Cut Tape (CT),311-10.0KLRCT-ND,0.01200,$0.13,1,,311-10.0KLRCT-ND,18,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageogroup.com/content/Resource%20Library/Product%20Environmental%20Compliance/RoHS_Compliance_YAGEO.pdf,311-10.0KLRCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4322/cut-tape-render.jpg,
18,RC0402FR-07100KL,YAGEO,RES 100K OHM 1% 1/16W 0402,,"4,831,519",In Stock,10,1,2,Cut Tape (CT),311-100KLRCT-ND,0.10000,$0.20,1,,311-100KLRCT-ND,18,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageogroup.com/content/Resource%20Library/Product%20Environmental%20Compliance/RoHS_Compliance_YAGEO.pdf,311-100KLRCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4322/cut-tape-render.jpg,
19,RC0402FR-0733RL,YAGEO,RES 33 OHM 1% 1/16W 0402,,"2,592,460",In Stock,10,1,2,Cut Tape (CT),311-33.0LRCT-ND,0.10000,$0.20,1,,311-33.0LRCT-ND,18,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageogroup.com/content/Resource%20Library/Product%20Environmental%20Compliance/RoHS_Compliance_YAGEO.pdf,311-33.0LRCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4322/cut-tape-render.jpg,
20,RC0402FR-07220RL,YAGEO,RES 220 OHM 1% 1/16W 0402,,"410,791",In Stock,10,1,2,Cut Tape (CT),311-220LRCT-ND,0.10000,$0.20,1,,311-220LRCT-ND,18,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageogroup.com/content/Resource%20Library/Product%20Environmental%20Compliance/RoHS_Compliance_YAGEO.pdf,311-220LRCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4322/cut-tape-render.jpg,
21,ATSAMD21G18A-AU,Microchip Technology,IC MCU 32BIT 256KB FLASH 48TQFP,,"6,577",In Stock,,1,1,Tray,ATSAMD21G18A-AU-ND,4.16000,$4.16,1,,ATSAMD21G18A-AU-ND,4,https://ww1.microchip.com/downloads/en/DeviceDoc/SAM-D21-DA1-Family-Data-Sheet-DS40001882H.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,3  (168 Hours),3A991A2,8542.31.0025,Thailand,https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Semiconductor_EnvCoC.pdf|https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Microchip_REACH_Statement.pdf,ATSAMD21G18A-AU-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4578/150%7E48TQFP-1%2C2-7x7%7EA%7E48.JPG,
22,MCF8316A1VRGFR,Texas Instruments,"40-V MAX, 8-A PEAK, SENSORLESS F",,"3,958",In Stock,,4,4,Cut Tape (CT),296-MCF8316A1VRGFRCT-ND,3.91000,$15.64,1,,296-MCF8316A1VRGFRCT-ND,12,https://www.ti.com/lit/ds/symlink/mcf8316a.pdf?ts=1662971630101&ref_url=http%253A%252F%252Fwww.ti.com%252Fproduct%252FMCF8316A,,	-,,Active,Not applicable,,2  (1 Year),EAR99,8542.39.0070,China,,296-MCF8316A1VRGFRCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/210/417/296%7E4204716-3%7ERGF%7E40_web%28640x640%29.jpg,
23,MCP1826S-3302E/DB,Microchip Technology,IC REG LINEAR 3.3V 1A SOT-223-3,,"9,244",In Stock,,1,1,Tube,MCP1826S-3302E/DB-ND,0.91000,$0.91,1,,MCP1826S-3302E/DB-ND,4,https://ww1.microchip.com/downloads/en/DeviceDoc/22057B.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8542.39.0090,Thailand,https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Semiconductor_EnvCoC.pdf|https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Microchip_REACH_Statement.pdf,MCP1826S-3302E/DB-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5484/150%7EC04-032%7EDB%7E4.JPG,
24,TPS62163DSGT,Texas Instruments,IC REG BUCK 5V 1A 8WSON,,"8,333",In Stock,,1,1,Cut Tape (CT),296-30228-1-ND,1.98000,$1.98,1,,296-30228-1-ND,12,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Ftps62161,,	-,,Active,ROHS3 Compliant,REACH Unaffected,2  (1 Year),EAR99,8542.39.0090,Malaysia,,296-30228-1-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/339/296%7E4208210%7EDSG%7E8.jpg,
25,ICM-20602,TDK InvenSense,IMU ACCEL/GYRO/TEMP I2C/SPI LGA,,75,In Stock,,1,1,Cut Tape (CT),1428-1060-1-ND,4.96000,$4.96,1,,1428-1060-1-ND,26,https://www.invensense.com/wp-content/uploads/2016/10/DS-000176-ICM-20602-v1.0.pdf,,	-,,Last Time Buy,ROHS3 Compliant,REACH Unaffected,3  (168 Hours),7A994,8542.39.0070,Taiwan,,1428-1060-1-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6154/1428%7E16LGA-.80-3X3%7E%7E16.jpg,
